"Author","Publisher","# samenwerkingen"
"Alexander Donatus","Joannes Cnobbarus",1
"Augustinians of Antwerpen","Joannes Franciscus de Roveroy",75
"Augustinians of Antwerpen","Joannes Godefridus Josephus de Roveroy",28
"Augustinians of Antwerpen","Jacob Mesens",8
"Augustinians of Antwerpen","Alexander Everaerts",7
"Augustinians of Antwerpen","Joannes Paulus Robyns",4
"Augustinians of Antwerpen","Petrus Grangé",3
"Augustinians of Antwerpen","Martinus Verdussen",2
"Augustinians of Antwerpen","Christoffel Jaeghers",1
"Augustinians of Antwerpen","Jacobus Bernardus Jouret",1
"Augustinians of Antwerpen","Petrus Jouret",1
"Augustinians of Antwerpen","Wed. Petrus Grangé",1
"Augustinians of Brugge","Jacobus Beernaerts",2
"Augustinians of Dendermonde","Daniel van Noordthover",3
"Augustinians of Dendermonde","Jacobus J. du Caju",2
"Augustinians of Gent","Jean Eton",29
"Augustinians of Gent","Michiel de Goesin",23
"Augustinians of Gent","Erven Maximiliaan Graet",11
"Augustinians of Gent","Dominicus van der Ween",8
"Augustinians of Gent","Franciscus van der Ween",8
"Augustinians of Gent","Cornelis Meyer",6
"Augustinians of Gent","Maximiliaan Graet",5
"Augustinians of Gent","Wed. Michiel de Goesin",5
"Augustinians of Gent","Judocus Dooms",4
"Augustinians of Gent","Servais Somers",4
"Augustinians of Gent","Petrus Franciscus de Goesin (I)",3
"Augustinians of Gent","Augustinus Graet",2
"Augustinians of Gent","Maurice van der Ween",1
"Augustinians of Gent","Wed. Jan Meyer",1
"Augustinians of Ieper","Domijn Ramault",2
"Augustinians of Ieper","Jacques de Rave",1
"Augustinians of Leuven","Bernardijn Maes",1
"Augustus Alstenius Bloemertius","Ludovicus Elsevier",1
"Aulus Gerardus Dalanthus","Joannes Latius",1
"Bernardinis Stephonius Sabinus","Joannes Cnobbarus",2
"Bernardus Everardus","Jacques Boscardus",1
"Carmelites of Munsterbilsen","J.T. van Gulpen",1
"Carolus Malapertius","Alberti Gedelij",1
"Carolus Malapertius","Balthasar Moretus",1
"Carolus Malapertius","Bernardus Gualterus",1
"Carolus Malapertius","Joannes Cnobbarus",1
"Carolus Malapertius","Wed. en erven Moretus",1
"Casparus Casparius","Bruyn Harmansz Schinckel",2
"Cornelius Crocus","Joannes Steelsius",5
"Cornelius Crocus","Joannes Grapheus",3
"Cornelius Crocus","Christianus Wechelus",2
"Cornelius Crocus","Jacobus Jucundus",2
"Cornelius Crocus","Melchior Soter",2
"Cornelius Crocus","Alexander Weissenhorn",1
"Cornelius Crocus","D. a Prato",1
"Cornelius Crocus","Guillielmus le Bret en Fezandat",1
"Cornelius Crocus","Joannes Oporinus",1
"Cornelius Crocus","Johannes Gymnicus (I)",1
"Cornelius Crocus","Martinus Gymnicus",1
"Cornelius Crocus","Nicolaus Brylingerus",1
"Cornelius Laurimanus","A. Bergagne",1
"Cornelius Laurimanus","Gulielmus Silvius",1
"Cornelius Laurimanus","Herman van Borculo (I)",1
"Cornelius Schonaeus","Henricus Laurentius",35
"Cornelius Schonaeus","Gerardus Grevenbruch",32
"Cornelius Schonaeus","Petrus Hauboldus",21
"Cornelius Schonaeus","Guilielmus vander Hoeve",17
"Cornelius Schonaeus","Petrus Sanctandraeanus",14
"Cornelius Schonaeus","Zacharias Heyns",8
"Cornelius Schonaeus","Aegidius Romanus",7
"Cornelius Schonaeus","Petrus Iansonius Campensis",6
