"Year","# Manifestations"
1507,1
1509,1
1511,1
1513,1
1515,2
1518,1
1519,1
1520,1
1522,1
1529,1
1530,1
1531,1
1532,2
1533,2
1534,7
1535,5
1536,4
1537,3
1538,4
1539,12
1540,15
1541,11
1542,4
1543,3
1544,4
1545,9
1546,2
1547,3
1548,1
1549,5
1550,3
1552,7
1553,6
1554,3
1556,2
1557,2
1558,2
1559,2
1560,3
1562,2
1563,3
1564,2
1565,1
1566,1
1567,1
1568,2
1569,1
1570,4
1571,1
1572,1
1574,3
1577,1
1578,1
1579,1
1580,1
1581,2
1585,1
1587,3
1589,4
1590,1
1591,5
1592,7
1594,12
1595,28
1596,2
1598,7
1599,13
1600,4
1601,1
1602,7
1603,2
1604,6
1605,3
1607,3
1608,3
1609,1
1610,5
1611,3
1612,2
1613,6
1614,15
1615,4
1616,6
1617,9
1618,5
1619,3
1620,9
1621,12
1622,3
1623,6
1624,7
1625,7
1626,2
1627,4
1628,21
1629,7
1630,12
1631,19
1632,7
1633,9
1634,15
1635,16
1636,5
1637,11
1638,14
1639,40
1640,18
1641,7
1642,4
1643,3
1645,23
1646,29
1647,1
1648,13
1649,4
1650,39
1651,3
1652,11
1653,5
1654,3
1655,6
1656,19
1657,8
1658,7
1659,5
1660,9
1661,8
1662,14
1663,22
1664,10
1665,6
1666,16
1667,2
1668,9
1669,2
1670,3
1671,3
1672,18
1673,2
1674,2
1675,8
1677,2
1678,5
1679,15
1680,8
1681,2
1682,14
1683,6
1684,1
1685,3
1686,6
1687,2
1688,6
1689,3
1690,2
1691,7
1692,3
1693,9
1694,6
1695,6
1696,6
1697,9
1698,10
1699,25
1700,22
1701,11
1702,22
1703,16
1704,8
1705,10
1706,1
1707,4
1708,5
1709,4
1710,5
1711,12
1712,8
1713,5
1714,7
1715,15
1716,12
1717,20
1718,14
1719,13
1720,11
1721,24
1722,33
1723,30
1724,40
1725,32
1726,33
1727,27
1728,37
1729,43
1730,54
1731,41
1732,51
1733,39
1734,7
1735,16
1736,8
1737,10
1738,6
1739,5
1740,10
1741,6
1742,16
1743,18
1744,16
1745,17
1746,9
1747,8
1748,8
1749,13
1750,17
1751,10
1752,7
1753,6
1754,10
1755,15
1756,11
1757,8
1758,9
1759,10
1760,7
1761,11
1762,12
1763,10
1764,13
1765,14
1766,14
1767,10
1768,11
1769,10
1770,15
1771,14
1772,11
1773,9
1774,6
1775,6
1776,8
1777,3
1790,1
1792,1
1794,1
1798,1
1802,1
