"Publisher","# Manifestations"
"Petrus Jacobus de Rave",104
"Joannes Franciscus vander Elst",76
"Joannes Franciscus de Roveroy",75
"Petrus Franciscus de Goesin (I)",65
"Laurentius vander Elst",51
"Petrus Franciscus de Goesin (II)",47
"Wed. Petrus Jacobs",46
"Jean Eton",39
"Wed. Petrus Franciscus de Goesin (I)",37
"Henricus Laurentius",35
"Gerardus Grevenbruch",32
"Joannes Godefridus Josephus de Roveroy",28
"Johannes Naeranus",24
"Michiel de Goesin",23
"Jacobus Beernaerts",22
"Andreas Moreel",21
"Petrus Hauboldus",21
"Jan van Mullem",19
"Wed. Pierre Weins",19
"Bastiaen Wagens",18
"Henricus Saetreuver",18
"Herman van Borculo (I)",18
"Antheunes de Backer",17
"Erven Maximiliaan Graet",17
"Guilielmus vander Hoeve",17
"Jan vanden Kerchove",17
"Nicolaus Breygelius",15
"Petrus Sanctandraeanus",15
"Baudouin Manilius",14
"Hieronymus Nempaeus",14
"Petrus Sassenus",14
"Alexander Everaerts",13
"Gerardus Hatardus",13
"Pieter vande Cappelle",13
"Cornelius Coenestenius",12
"J.M. Hovius",12
"Wed. Jacobus de Rave",12
"Jan Danckaert",11
"Andreas Jaye",10
"Johannes Gymnicus (I)",10
"Philips de Lobel",10
"Dominicus van der Ween",9
"Hendrick Jaye",9
"Jacob Mesens",9
"Joannes Cnobbarus",9
"Pierre Weins",9
"Wed. Michiel de Goesin",9
"Franciscus van der Ween",8
"Joannes Baptista Moerman",8
"Joannes Beernaerts",8
"Michael Hillenius Hoochstratanus",8
"Nicolaus Brylingerus",8
"Zacharias Heyns",8
"Aegidius Romanus",7
"Antoine Claudinot",7
"Joannes de Fampoux",7
"Joannes Schoeffer",7
"Judocus Dooms",7
"Maximiliaan Graet",7
"Petrus Horst",7
"Philippus Dormalius",7
"Cornelis Meyer",6
"Guilliam Hacquebaud",6
"Joannes Steelsius",6
"Lucas Meerbecius",6
"Petrus Iansonius Campensis",6
"Pieter van Waesberge (I)",6
"Wed. Henri Thieullier",6
"Zegher van den Berghe",6
"Arnoldus Henricus Laurentius",5
"François Bellet",5
"Johannes Janssonius",5
"Petrus Jacobs",5
"Andreas Cloucquius",4
"Christoffel Plantijn",4
"Erven Martinus Nutius (II)",4
"Franciscus Maximus Ophoven",4
"Hendrick Aertssens",4
"Hieronymus de Vogel",4
"Jacob Lekens",4
"Jean Weins",4
"Joannes Franciscus Jaye",4
"Joannes Paulus Robyns",4
"Martinus Nutius (III)",4
"Peter de Cleyn",4
"Rutgerus Velpius",4
"Servais Somers",4
"Wed. Ant. Franc. van Ursel",4
"Wed. François Moerman",4
"Wed. Jean-Baptiste de Moitemont",4
"Willem Jansz Blaeu",4
"Christianus Wechelus",3
"Daniel van Noordthover",3
"Gerardus Wolschaten",3
"Hubertus Antonius Velpius (I)",3
"Jan Bellet",3
"Jan Jaye",3
"Jan Mommaert (II)",3
"Jan van Ghemmert",3
"Jan van Meurs",3
"J.B. Carstiaenssens",3
"Jean-Baptiste de Moitemont",3
"Joannes Grapheus",3
"Joannes Hillenius",3
"Joannes Jacobs",3
"Joannes van Gulpen",3
"Leonardus Ophoven",3
"Melchior Soter",3
"Petrus Grangé",3
"Petrus van Pee",3
"Philippe-Joseph Lemmens",3
"Pieter Bouvet",3
"Pieter Geubels",3
"Thomas Snodham",3
"Wed. Jan van Ghemmert",3
"Albert Tossanus",2
"Albertus Pafradus",2
"Alexander Michiels",2
"Augustinus Graet",2
"Bernardus Gualterus",2
"Bruyn Harmansz Schinckel",2
"Caspar du Pree",2
"Cornelis van der Meeren",2
"Cornelius Manilius",2
"Cornelius Woons",2
"Cyprianus Coenestenius",2
"Domijn Ramault",2
"Faber",2
"Gaultier Manilius",2
"G. Emerson",2
