"Work","Expression","Manifestation","Title","Lang","Author"
"W1","E69","M371","Phoenissae","Greek","Hugo Grotius"
"W1","E69","M371","Phoenissae","Latin","Hugo Grotius"
"W1","E69","M1020","Phoenissae","Greek","Hugo Grotius"
"W1","E69","M1020","Phoenissae","Latin","Hugo Grotius"
"W1","E69","M1899","Phoenissae","Greek","Hugo Grotius"
"W1","E69","M1899","Phoenissae","Latin","Hugo Grotius"
"W1","E69","M2129","Phoenissae","Greek","Hugo Grotius"
"W1","E69","M2129","Phoenissae","Latin","Hugo Grotius"
"W1","E72","M395","Phoenissae","Latin","Hugo Grotius"
"W1","E72","M2037","Phoenissae","Latin","Hugo Grotius"
"W2","E78","M414","Sedecias","Latin","Jesuits of Ieper"
"W2","E78","M474","Sedecias","Latin","Jesuits of Ieper"
"W2","E78","M1363","Sedecias","Latin","Jesuits of Ieper"
"W2","E630","M921","Sedecias","Dutch","Jesuits of Ieper"
"W2","E630","M921","Sédécie","French","Jesuits of Ieper"
"W3","E90","M589","Adelphi","Dutch","Henricus Zwaerdecroon"
"W3","E90","M589","Adelphi","Latin","Henricus Zwaerdecroon"
"W3","E90","M712","Adelphi","Dutch","Henricus Zwaerdecroon"
"W3","E90","M712","Adelphi","Latin","Henricus Zwaerdecroon"
"W3","E96","M595","Adelphi","Dutch","Henricus Zwaerdecroon"
"W3","E96","M764","Adelphi","Dutch","Henricus Zwaerdecroon"
"W4","E91","M590","Andria","Dutch","Henricus Zwaerdecroon"
"W4","E91","M590","Andria","Latin","Henricus Zwaerdecroon"
"W4","E91","M714","Andria","Dutch","Henricus Zwaerdecroon"
"W4","E91","M714","Andria","Latin","Henricus Zwaerdecroon"
"W4","E97","M596","Andria","Dutch","Henricus Zwaerdecroon"
"W4","E97","M765","Andria","Dutch","Henricus Zwaerdecroon"
"W5","E92","M591","Eunuchus","Dutch","Henricus Zwaerdecroon"
"W5","E92","M591","Eunuchus","Latin","Henricus Zwaerdecroon"
"W5","E92","M716","Eunuchus","Dutch","Henricus Zwaerdecroon"
"W5","E92","M716","Eunuchus","Latin","Henricus Zwaerdecroon"
"W5","E98","M597","Eunuchus","Dutch","Henricus Zwaerdecroon"
"W5","E98","M766","Eunuchus","Dutch","Henricus Zwaerdecroon"
"W6","E93","M592","Heautontimorumenos","Dutch","Henricus Zwaerdecroon"
"W6","E93","M592","Heautontimorumenos","Latin","Henricus Zwaerdecroon"
"W6","E93","M718","Heautontimorumenos","Dutch","Henricus Zwaerdecroon"
"W6","E93","M718","Heautontimorumenos","Latin","Henricus Zwaerdecroon"
"W6","E99","M598","Heautontimorumenos","Dutch","Henricus Zwaerdecroon"
"W6","E99","M768","Heautontimorumenos","Dutch","Henricus Zwaerdecroon"
"W7","E94","M593","Hecyra","Dutch","Henricus Zwaerdecroon"
"W7","E94","M593","Hecyra","Latin","Henricus Zwaerdecroon"
"W7","E94","M720","Hecyra","Dutch","Henricus Zwaerdecroon"
"W7","E94","M720","Hecyra","Latin","Henricus Zwaerdecroon"
"W7","E100","M599","Hecyra","Dutch","Henricus Zwaerdecroon"
"W7","E100","M769","Hecyra","Dutch","Henricus Zwaerdecroon"
"W8","E95","M594","Phormio","Dutch","Henricus Zwaerdecroon"
"W8","E95","M594","Phormio","Latin","Henricus Zwaerdecroon"
"W8","E95","M722","Phormio","Dutch","Henricus Zwaerdecroon"
"W8","E95","M722","Phormio","Latin","Henricus Zwaerdecroon"
"W8","E101","M601","Phormio","Dutch","Henricus Zwaerdecroon"
"W8","E101","M772","Phormio","Dutch","Henricus Zwaerdecroon"
"W9","E106","M909","Sedecias","Latin","Jesuits of Gent"
"W9","E106","M1682","Sedecias","Latin","Jesuits of Gent"
"W9","E1608","M1995","Sedecias","Dutch","Jesuits of Gent"
"W9","E1608","M1995","Sedecias","Latin","Jesuits of Gent"
"W10","E109","M1014","Clodoaldus","Latin","Jesuits of Mechelen"
"W10","E109","M1750","Clodoaldus","Latin","Jesuits of Mechelen"
"W10","E727","M1024","Clodoalde","French","Jesuits of Mechelen"
"W11","E119","M1264","Stultitia languido remedium est optimum","Latin","Augustinians of Antwerpen"
"W11","E119","M1762","Stultitia languido remedium est optimum","Latin","Augustinians of Antwerpen"
"W11","E1723","M2123","Gekheyd verdryft het best de Swaermoedigheyd","Dutch","Augustinians of Antwerpen"
"W11","E1723","M2123","Stultitia languido remedium optimum","Latin","Augustinians of Antwerpen"
"W12","E133","M1507","Leander","Latin","Jesuits of Ieper"
"W12","E133","M1533","Alexander","Latin","Jesuits of Ieper"
"W12","E1191","M1534","Alexander","Dutch","Jesuits of Ieper"
"W13","E165","M130","Soter gloriosus","Latin","Franciscus Eutrachelus"
"W13","E166","M131","Soter gloriosus","Latin","Franciscus Eutrachelus"
"W14","E502","M761","Verus et sincerus amor Davidis et Jonathae","Latin","Jesuits of Gent"
"W14","E503","M762","Verus et sincerus amor Davidis et Jonathae","Latin","Jesuits of Gent"
"W15","E515","M786","Eustachius","Latin","Jesuits of Gent"
"W15","E1443","M1818","Eustachius","Dutch","Jesuits of Gent"
"W16","E617","M906","Themistocles","Dutch","Jesuits of Ieper"
"W16","E617","M906","Themistocles","French","Jesuits of Ieper"
"W16","E1221","M1567","Themistocles","Latin","Jesuits of Ieper"
"W17","E642","M933","Baltassar","Latin","Jesuits of Mechelen"
