"Work","Expression","Manifestation"
"W1","E69","M371"
"W1","E69","M1020"
"W1","E69","M1899"
"W1","E69","M2129"
"W1","E72","M395"
"W1","E72","M2037"
"W2","E78","M414"
"W2","E78","M474"
"W2","E78","M1363"
"W2","E630","M921"
"W3","E90","M589"
"W3","E90","M712"
"W3","E96","M595"
"W3","E96","M764"
"W4","E91","M590"
"W4","E91","M714"
"W4","E97","M596"
"W4","E97","M765"
"W5","E92","M591"
"W5","E92","M716"
"W5","E98","M597"
"W5","E98","M766"
"W6","E93","M592"
"W6","E93","M718"
"W6","E99","M598"
"W6","E99","M768"
"W7","E94","M593"
"W7","E94","M720"
"W7","E100","M599"
"W7","E100","M769"
"W8","E95","M594"
"W8","E95","M722"
"W8","E101","M601"
"W8","E101","M772"
"W9","E106","M909"
"W9","E106","M1682"
"W9","E1608","M1995"
"W10","E109","M1014"
"W10","E109","M1750"
"W10","E727","M1024"
"W11","E119","M1264"
"W11","E119","M1762"
"W11","E1723","M2123"
"W12","E133","M1507"
"W12","E133","M1533"
"W12","E1191","M1534"
"W13","E165","M130"
"W13","E166","M131"
"W14","E502","M761"
"W14","E503","M762"
"W15","E515","M786"
"W15","E1443","M1818"
"W16","E617","M906"
"W16","E1221","M1567"
"W17","E642","M933"
"W17","E843","M1149"
"W18","E699","M994"
"W18","E1539","M1922"
"W19","E712","M1007"
"W19","E713","M1008"
"W20","E719","M1015"
"W20","E1126","M1465"
"W21","E742","M1039"
"W21","E1541","M1924"
"W22","E764","M1063"
"W22","E1677","M2068"
"W23","E770","M1069"
"W23","E771","M1070"
"W24","E879","M1189"
"W24","E1005","M1330"
"W24","E1086","M1420"
"W25","E907","M1219"
"W25","E925","M1238"
"W26","E1134","M1473"
"W26","E1135","M1474"
"W27","E1136","M1475"
"W27","E1137","M1476"
"W28","E1266","M1614"
"W28","E1267","M1615"
"W29","E1269","M1618"
"W29","E1270","M1619"
"W30","E1302","M1655"
"W30","E1844","M2251"
"W31","E1315","M1670"
"W31","E1573","M1956"
"W32","E1417","M1787"
"W32","E1418","M1788"
"W33","E1430","M1802"
"W33","E1432","M1806"
"W34","E1442","M1817"
"W34","E1568","M1951"
"W35","E1458","M1834"
"W35","E1459","M1835"
"W36","E1462","M1838"
"W36","E1464","M1840"
"W37","E1485","M1862"
"W37","E1640","M2030"
"W38","E1597","M1984"
"W38","E1645","M2035"
"W39","E1662","M2053"
"W39","E1665","M2056"
"W40","E1","M1"
"W40","E1","M3"
"W40","E1","M6"
"W41","E2","M2"
"W41","E2","M9"
"W41","E2","M10"
"W41","E2","M12"
"W41","E2","M16"
"W41","E2","M21"
"W41","E2","M22"
"W41","E2","M23"
"W41","E2","M26"
"W41","E2","M27"
"W41","E2","M33"
"W41","E2","M54"
"W41","E2","M76"
"W41","E2","M97"
"W41","E2","M100"
"W41","E2","M116"
"W41","E2","M128"
"W41","E2","M135"
"W41","E2","M137"
"W41","E2","M139"
"W41","E2","M149"
